date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:00	0/0	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Jun%202025%2015:23:01%20GMT	http://www.merlionit.com/robots.txt		(from )
11:23:01	115618/115618	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Jun%202025%2015:23:01%20GMT	http://www.merlionit.com/	C:/My%20Web%20Sites/merlion_copia/www.merlionit.com/index.html	(from )
11:23:01	53375/53375	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Apr%202025%2015:23:54%20GMT	https://www.merlionit.com/public/site/assets/images/favicon.png	C:/My%20Web%20Sites/merlion_copia/www.merlionit.com/public/site/assets/images/favicon.png	(from http://www.merlionit.com/)
11:23:02	181372/181372	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20May%202025%2012:20:15%20GMT	https://merlionit.com/storage/app/uploads/HLrRAcQpEKsiPVVUgMEebPm4FxogNSZkaMOpdtYd.jpg	C:/My%20Web%20Sites/merlion_copia/merlionit.com/storage/app/uploads/HLrRAcQpEKsiPVVUgMEebPm4FxogNSZkaMOpdtYd.jpg	(from http://www.merlionit.com/)
11:23:02	115639/115639	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Jun%202025%2015:23:02%20GMT	https://www.merlionit.com/home	C:/My%20Web%20Sites/merlion_copia/www.merlionit.com/home.html	(from http://www.merlionit.com/)
11:23:02	102217/102217	---M--	200	added ('OK')	text/css	date:Fri,%2025%20Apr%202025%2015:37:56%20GMT	https://www.merlionit.com/public/site/assets/css/fontawesome-free-6.4.2-web/css/all.min.css	C:/My%20Web%20Sites/merlion_copia/www.merlionit.com/public/site/assets/css/fontawesome-free-6.4.2-web/css/all.min.css	(from http://www.merlionit.com/)
11:23:02	86927/86927	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Apr%202025%2020:27:02%20GMT	https://www.merlionit.com/public/site/assets/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/merlion_copia/www.merlionit.com/public/site/assets/js/jquery-3.3.1.min.js	(from http://www.merlionit.com/)
11:23:02	253668/253668	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Apr%202025%2020:29:04%20GMT	https://www.merlionit.com/public/site/assets/js/jquery-ui-1.12.1/jquery-ui.min.js	C:/My%20Web%20Sites/merlion_copia/www.merlionit.com/public/site/assets/js/jquery-ui-1.12.1/jquery-ui.min.js	(from http://www.merlionit.com/)
11:23:03	30747/30747	---M--	200	added ('OK')	text/css	date:Fri,%2025%20Apr%202025%2020:29:03%20GMT	https://www.merlionit.com/public/site/assets/js/jquery-ui-1.12.1/jquery-ui.min.css	C:/My%20Web%20Sites/merlion_copia/www.merlionit.com/public/site/assets/js/jquery-ui-1.12.1/jquery-ui.min.css	(from http://www.merlionit.com/)
11:23:03	155742/155742	---M--	200	added ('OK')	text/css	date:Fri,%2025%20Apr%202025%2015:29:27%20GMT	https://www.merlionit.com/public/site/assets/css/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/merlion_copia/www.merlionit.com/public/site/assets/css/bootstrap/bootstrap.min.css	(from http://www.merlionit.com/)
